date,close,volume,active_addresses,tx_count
2021-05-21,2428.91,251451.70746924,697499,1367394
2021-05-22,2294.75,333867.90870843,686947,1283663
2021-05-23,2096.6,397681.771699,751221,1264253
2021-05-24,2648.72,287901.3458177,693847,1312739
2021-05-25,2704.48,290049.62798189,652514,1289446
2021-05-26,2884.15,222550.08151436,685336,1326432
2021-05-27,2742.34,138051.30580725,720290,1291385
2021-05-28,2412.12,169602.83455193,644047,1305078
2021-05-29,2278.24,150054.70010406,794192,1293425
2021-05-30,2385.98,140099.47519192,734624,1280282
2021-05-31,2705.59,149738.10904179,733140,1297889
2021-06-01,2634.53,130579.87057245,677920,1274354
2021-06-02,2707.58,101789.20169044,648077,1314178
2021-06-03,2857.03,87264.90651761,683741,1337711
2021-06-04,2688.55,116116.99179645,711636,1301803
2021-06-05,2628.38,93957.77553416,826004,1176676
2021-06-06,2711.62,66525.41067468,801579,1134526
2021-06-07,2592.45,101409.96482418,655320,1225549
2021-06-08,2507.05,199606.61971952,614894,1221063
2021-06-09,2609.69,140107.78036546,626011,1194275
2021-06-10,2470.33,86581.0478273,653958,1188556
2021-06-11,2354.51,79488.03472312,612641,1183286
2021-06-12,2370.2,66714.93204122,689502,1131777
2021-06-13,2509.12,76950.29206714,668513,1124736
2021-06-14,2581.37,69711.29824005,632306,1188556
2021-06-15,2543.6,57219.98672125,624917,1224101
2021-06-16,2368.56,60963.07667337,587775,1201109
2021-06-17,2373.09,58592.81921095,584095,1218956
2021-06-18,2233.5,64602.74271386,575623,1170182
2021-06-19,2165.1,47248.14520879,577194,1050189
2021-06-20,2243.23,65839.09753578,640273,1057288
2021-06-21,1886.15,151884.98939026,642471,1209567
2021-06-22,1879.34,165009.72158904,664525,1297644
2021-06-23,1967.64,76905.88189227,627659,1201974
2021-06-24,1989.46,47745.03561416,655167,1207012
2021-06-25,1809.33,75924.44293305,630078,1227331
2021-06-26,1830.04,72096.26877741,681695,1150460
2021-06-27,1982.57,58327.82146619,707381,1104703
2021-06-28,2083.85,78952.26068167,819820,1404100
2021-06-29,2164.68,71024.5436609,675964,1264320
2021-06-30,2275.2,97263.73838804,624034,1212214
2021-07-01,2106.2,91133.09953013,614828,1211710
2021-07-02,2154.23,82592.79555009,629288,1181574
2021-07-03,2226.63,52512.35069517,654247,1122543
2021-07-04,2322.67,58968.59962257,653685,1105343
2021-07-05,2195.73,67501.70972742,618615,1147895
