date,close,volume,active_addresses,tx_count
2021-05-21,179.933,110484.84314331,361114,114892
2021-05-22,169.488,54771.20600508,339342,101274
2021-05-23,142.44,151225.84029515,337614,99546
2021-05-24,185.012,111837.74272198,364314,102859
2021-05-25,183.76,82277.74583423,354757,104696
2021-05-26,198.786,77744.94440752,294188,114497
2021-05-27,194.274,75480.18440835,322935,101281
2021-05-28,177.324,91117.6655736,298184,107837
2021-05-29,163.93,77486.44100373,287581,98204
2021-05-30,170.567,59548.91651826,308183,89956
2021-05-31,188.142,59490.77375568,286416,92283
2021-06-01,183.006,35475.00203553,315596,96895
2021-06-02,187.303,47192.59269673,323539,107159
2021-06-03,193.473,42024.62312729,325624,95812
2021-06-04,178.438,61207.12832163,337923,96214
2021-06-05,172.958,37665.91750328,291462,89975
2021-06-06,176.474,26448.32351444,317398,84837
2021-06-07,161.99,41314.89721503,302213,93439
2021-06-08,160.66,62376.7145112,421304,93319
2021-06-09,172.491,45345.21386273,312824,101800
2021-06-10,168.006,23922.47845726,316692,96471
2021-06-11,162.759,25009.01750775,316226,99952
2021-06-12,161.747,19397.63908792,305979,93318
2021-06-13,170.806,14652.73995858,271393,84374
2021-06-14,179.941,31030.98352748,308252,91750
2021-06-15,175.205,31505.03136217,301946,95265
2021-06-16,166.572,53274.90419781,307747,101179
2021-06-17,167.11,29389.46225654,307769,89524
2021-06-18,155.999,52606.72409014,315633,89310
2021-06-19,152.56,26575.02190462,290373,89993
2021-06-20,154.851,43801.04771774,288039,95856
2021-06-21,124.429,100214.87250637,256853,108507
2021-06-22,119.694,195556.63137075,328790,106433
2021-06-23,129.101,103680.52844002,327531,174262
2021-06-24,134.525,79065.25971291,308360,195907
2021-06-25,125.042,79800.40719798,333925,172898
2021-06-26,126.808,71400.59119432,292655,139110
2021-06-27,132.567,31398.97795471,307443,127823
2021-06-28,137.66,39188.4801017,316778,122616
2021-06-29,144.144,45093.65031338,349090,133870
2021-06-30,144.291,59259.47586194,306790,143360
2021-07-01,137.1,51791.61387085,355257,141272
2021-07-02,136.873,41617.4779069,321212,113120
2021-07-03,140.018,26456.15759157,313910,72676
2021-07-04,144.892,27562.64113736,292879,110642
2021-07-05,137.8,38220.62374586,302563,84405
2021-07-06,138.932,33038.36994282,364902,73110
2021-07-07,137.355,25099.85403424,334250,75025
2021-07-08,132.048,43642.24930178,319964,72264
2021-07-09,134.512,31459.40251036,366974,113196
2021-07-10,134.012,21620.40377792,279879,116850
2021-07-11,134.263,16649.06642673,418840,110545
2021-07-12,133.368,31801.4832706,364567,118603
2021-07-13,131.41,23457.47310917,406953,118163
2021-07-14,131.031,30032.90040664,319157,122650
2021-07-15,125.802,25241.25501299,324506,139870
2021-07-16,120.624,34836.27396134,362387,134610
2021-07-17,119.991,33788.68705229,405402,124190
2021-07-18,119.129,30189.92580029,365848,119833
2021-07-19,113.172,37299.95946973,409484,134419
2021-07-20,107.225,69625.25098516,388759,134294
2021-07-21,117.776,50504.11793188,425729,127067
2021-07-22,120.701,32135.40343732,302576,142678
2021-07-23,124.25,19332.03212089,413524,131003
2021-07-24,125.965,21854.74902729,233429,122448
2021-07-25,127.674,24559.16943293,278957,122864
2021-07-26,131.11,64314.95670809,420686,135763
2021-07-27,134.704,30985.31981737,351958,127686
2021-07-28,140.456,40575.96819513,323997,132876
2021-07-29,141.312,29525.47056411,283349,139105
2021-07-30,145.536,26778.73280661,186886,120376
2021-07-31,144.251,19447.19142603,194325,126514
2021-08-01,140.218,28029.49128043,203359,130891
2021-08-02,141.337,27698.45444264,248383,129859
2021-08-03,138.315,26288.5111974,277139,129291
2021-08-04,142.606,26062.05505751,296478,130355
2021-08-05,143.394,39902.9666937,336729,143887
2021-08-06,147.855,44152.20881654,384931,138750
2021-08-07,155.909,66158.19406159,270775,132646
2021-08-08,149.733,41724.66073704,268736,122740
2021-08-09,166.45,94254.97179077,287387,133480
2021-08-10,165.316,64369.61266949,346845,146217
2021-08-11,170.789,72491.71169,319092,153080
2021-08-12,165.4,77754.32171372,289582,164846
2021-08-13,183.225,83592.49140675,283094,163183
2021-08-14,182.829,69432.93190961,262055,149450
2021-08-15,184.647,75865.03703301,269698,155393
2021-08-16,178.068,52517.67859935,287613,156871
2021-08-17,168.517,59471.71200114,344365,155337
2021-08-18,166.633,54301.8204745,321408,155108
2021-08-19,175.533,53542.45089429,254305,161783
2021-08-20,183.542,41728.87504513,326013,168581
2021-08-21,179.637,45687.90614397,278823,152228
2021-08-22,185.867,64467.09226734,222686,139230
2021-08-23,187.123,59683.60849882,365592,161069
2021-08-24,173.5,58654.77082258,380085,160639
2021-08-25,177.917,44737.86342213,468891,164259
2021-08-26,167.66,39961.28041439,341153,161782
2021-08-27,176.198,29740.41903906,365224,151960
2021-08-28,175.522,24968.90845742,340148,153129
2021-08-29,174.355,48652.00271165,330870,142781
2021-08-30,167.267,31221.26897724,345026,157208
2021-08-31,171.501,45974.43035612,378272,155189
2021-09-01,180.974,66700.93665797,335748,160000
2021-09-02,183.366,57775.9134428,403660,169555
2021-09-03,213.0,169919.32783229,406494,168600
2021-09-04,211.956,118522.88009906,347791,146616
2021-09-05,232.371,109872.53391858,442734,153341
2021-09-06,219.419,99990.07947182,449114,159124
2021-09-07,178.203,229052.77463759,451411,146764
2021-09-08,179.648,152103.70526552,413244,135820
2021-09-09,180.263,69779.08181095,395490,148976
2021-09-10,174.131,61270.09984596,386555,148777
2021-09-11,178.509,59515.9014814,328316,147171
2021-09-12,183.106,46936.48005873,328570,138956
2021-09-13,179.261,391602.26517119,371497,152114
2021-09-14,183.057,81831.93804625,405976,147102
2021-09-15,189.017,71012.93859815,438700,149114
2021-09-16,185.294,86537.40094221,444743,148065
2021-09-17,179.854,56009.63277846,447577,137817
2021-09-18,181.374,33306.24853765,385301,121014
2021-09-19,175.587,39691.41222237,395113,107489
2021-09-20,157.235,108525.22137593,400990,126622
2021-09-21,148.493,77106.1098517,404773,131893
2021-09-22,161.472,59237.20892439,347689,133643
2021-09-23,163.814,50216.59596464,398396,123825
2021-09-24,152.044,81441.94539862,361967,122431
2021-09-25,150.939,44140.26659293,359506,119667
2021-09-26,150.873,49821.45184396,333082,126015
2021-09-27,145.007,38310.22368681,418247,140449
2021-09-28,140.515,50302.36723977,430212,140835
2021-09-29,144.77,45253.29003398,371189,138051
2021-09-30,153.292,49795.40672357,388150,133472
2021-10-01,166.199,69235.7772924,421347,152261
2021-10-02,168.889,44619.36148679,417085,145366
2021-10-03,170.559,48671.63320335,409216,134992
2021-10-04,167.513,49510.6899234,449677,139391
2021-10-05,173.729,64115.6020141,569510,125612
2021-10-06,178.479,96587.08900802,466612,136628
2021-10-07,178.626,90396.67252704,448235,120461
2021-10-08,175.945,55651.28822169,505026,121361
2021-10-09,179.87,44105.32579492,459086,115396
2021-10-10,174.852,52386.40681371,473319,108824
2021-10-11,179.257,61027.96144653,594803,133603
2021-10-12,172.547,64726.54093412,543291,136111
2021-10-13,177.612,47246.84129604,681679,133454
2021-10-14,181.337,73796.97925507,698762,131407
2021-10-15,189.607,92958.29110195,689371,138790
2021-10-16,186.041,49708.81619772,562835,127317
2021-10-17,183.767,43300.33122597,395664,117807
2021-10-18,185.632,47069.32487146,497382,134541
2021-10-19,188.774,45472.44923227,434935,129476
2021-10-20,207.341,89823.30295479,434740,128422
2021-10-21,196.798,101217.55564237,573332,136185
2021-10-22,191.004,61250.7506743,438200,138554
2021-10-23,196.339,57923.47088819,437891,144839
2021-10-24,190.399,66830.1065044,423231,141121
2021-10-25,195.443,50156.04261027,432855,143264
2021-10-26,197.413,63203.29845827,437547,140034
2021-10-27,179.016,170316.41095414,428070,148951
2021-10-28,189.787,99582.68179116,408688,138061
2021-10-29,196.685,80059.17484121,457217,149836
2021-10-30,190.194,60432.71036748,384996,136681
2021-10-31,191.809,66471.18131726,358915,134021
2021-11-01,197.636,99412.43920259,469298,148085
2021-11-02,200.909,87682.95929767,513308,152555
2021-11-03,207.227,104072.56212352,477457,150784
2021-11-04,202.644,99264.07450271,349677,139720
2021-11-05,198.904,106988.59893189,367036,133753
2021-11-06,197.56,62820.97549481,437863,135986
2021-11-07,201.993,67318.80842822,452224,134298
2021-11-08,228.842,167060.89186792,494505,138902
2021-11-09,262.024,420788.08582889,516307,149451
2021-11-10,260.402,438083.72096456,489483,148502
2021-11-11,262.283,212788.44621788,477335,139140
2021-11-12,251.11,302947.84331472,454926,131383
2021-11-13,257.798,145820.97728578,463747,125855
