date,close,volume,active_addresses,tx_count
2021-05-21,1.00607,142643179.64495528,23253,1001378
2021-05-22,0.90467,99175502.09709188,20924,968624
2021-05-23,0.78912,174903217.4202753,25097,1070922
2021-05-24,0.99237,137262549.85030463,22135,1054793
2021-05-25,0.97444,148099872.2818623,18521,1018585
2021-05-26,1.03176,89788904.01961552,17265,917291
2021-05-27,0.97471,74870454.9257118,15393,863800
2021-05-28,0.89859,96403778.60591698,15326,920142
2021-05-29,0.83082,80610095.159166,12862,898631
2021-05-30,0.90566,60062461.72824637,12369,842271
2021-05-31,1.04152,85852059.72050261,15141,877952
2021-06-01,1.01077,69820232.36151026,15019,858436
2021-06-02,1.02394,58130802.31268027,14912,761979
2021-06-03,1.04543,74042539.72108427,14614,741613
2021-06-04,0.96892,88285724.5368768,14039,795002
2021-06-05,0.92303,57296686.29225979,11897,805446
2021-06-06,0.94658,37819030.59366707,11676,723727
2021-06-07,0.86243,69221212.1065084,13913,798676
2021-06-08,0.87324,112426470.54992633,17648,831305
2021-06-09,0.92178,86373348.77015471,16732,799842
2021-06-10,0.86859,75190245.07816832,16007,770317
2021-06-11,0.84731,46658122.99422884,14250,770571
2021-06-12,0.83168,32208290.94800445,11701,761132
2021-06-13,0.88288,43247866.29091967,10390,746195
2021-06-14,0.89053,50841885.01803638,12262,733088
2021-06-15,0.86606,41039162.20517404,11976,737950
2021-06-16,0.83197,45408360.82930649,11141,715628
2021-06-17,0.84175,32737409.92091727,11561,723499
2021-06-18,0.79688,39456666.97973231,11016,745177
2021-06-19,0.75858,26950541.22679345,9415,802655
2021-06-20,0.77431,51064388.86927184,10968,855541
2021-06-21,0.60686,108701829.97493127,13836,893613
2021-06-22,0.54679,135277308.5938756,18143,1058257
2021-06-23,0.6384,89116534.79532003,13074,946467
2021-06-24,0.6728,69336860.64299656,11410,822889
2021-06-25,0.611,81023025.625521,10220,889990
2021-06-26,0.61633,47847635.93201103,9885,855789
2021-06-27,0.64761,41370948.96090625,12663,817671
2021-06-28,0.64384,39796739.97675457,13854,791860
2021-06-29,0.70593,62059383.76784232,14443,852406
2021-06-30,0.70597,57151118.88518335,11729,849882
2021-07-01,0.66009,49384922.06306726,11287,828616
2021-07-02,0.65612,26782231.06735752,10947,789019
2021-07-03,0.67318,26951041.699559,10342,780627
2021-07-04,0.69636,27886675.18678852,11178,791383
2021-07-05,0.65258,38466812.62266734,11408,804749
